Date,Well-Milled Low_train_residual
2020-01-01,31.546776922667725
2020-01-02,28.976547378635114
2020-01-03,17.56215564928413
2020-01-04,15.794632017789311
2020-01-05,11.335415169855107
2020-01-06,10.625469787480537
2020-01-07,9.249369713558647
2020-01-08,-9.673683330552528
2020-01-09,-6.721345675468243
2020-01-10,5.706913819834611
2020-01-11,4.788819022815865
2020-01-12,3.832744051662214
2020-01-13,2.038946934581041
2020-01-14,1.8680843744020095
2020-01-15,-5.168139006111851
2020-01-16,-3.7829977157751387
2020-01-17,2.5505781145160107
2020-01-18,2.2609052772893072
2020-01-19,2.5311128617334226
2020-01-20,1.8788039551480296
2020-01-21,2.2698173991447987
2020-01-22,-4.634263350841522
2020-01-23,-0.6186735651574722
2020-01-24,0.00016090454961315004
2020-01-25,-0.00023274366889580733
2020-01-26,6.746996867690314e-05
2020-01-27,-6.397113445189007e-05
2020-01-28,2.4090893102624023e-05
2020-01-29,-2.0000181235138825
2020-01-30,1.3490906539717358
2020-01-31,-1.7801806836023424
2020-02-01,1.2991237269640266
2020-02-02,0.44620549121941977
2020-02-03,-0.15907400031003505
2020-02-04,0.31876685703066343
2020-02-05,0.6013956742017434
2020-02-06,-0.3807913081390737
2020-02-07,0.6086178480397528
2020-02-08,1.5540822395949832
2020-02-09,-0.5333836543650818
2020-02-10,-0.8232261906402272
2020-02-11,-0.17422301799458495
2020-02-12,0.4607054391351788
2020-02-13,-0.46010350504875674
2020-02-14,0.514937849200706
2020-02-15,-1.152127217760274
2020-02-16,-0.00340025462538307
2020-02-17,0.37692155289217055
2020-02-18,-0.07515062368371161
2020-02-19,0.7706186822327403
2020-02-20,-0.4745051025470133
2020-02-21,0.6155319052063746
2020-02-22,-1.0342230391348863
2020-02-23,-0.03257015127827856
2020-02-24,0.31732914454211425
2020-02-25,-0.08662524859111898
2020-02-26,0.10580071577757622
2020-02-27,-0.03664303463166618
2020-02-28,0.030819772464731443
2020-02-29,-0.666349895935106
2020-03-01,0.1936846781109196
2020-03-02,0.31262172838995994
2020-03-03,0.03412105852653369
2020-03-04,0.08067727971124583
2020-03-05,0.01297224892972082
2020-03-06,0.026207448566417213
2020-03-07,0.01072907413952251
2020-03-08,-0.012591157661880459
2020-03-09,0.0019608245992905893
2020-03-10,0.0054541171849287196
2020-03-11,0.004052774502056877
2020-03-12,0.007106018618635801
2020-03-13,0.005643443564640194
2020-03-14,0.006862614688213142
2020-03-15,-0.014923819138623173
2020-03-16,-0.00022174100801208851
2020-03-17,1.5019161691260337
2020-03-18,1.9886132869553492
2020-03-19,-2.1859969649690285
2020-03-20,-0.28222985989026483
2020-03-21,-0.07816335659077822
2020-03-22,-0.2801547049182531
2020-03-23,0.0807711078296407
2020-03-24,-0.16729596400417535
2020-03-25,-0.03876155143885285
2020-03-26,-1.946484417150284
2020-03-27,2.375382698470741
2020-03-28,-2.4624786041920146
2020-03-29,-0.8026506887420872
2020-03-30,-0.18282522018131786
2020-03-31,3.665898719351379
2020-04-01,1.822185109978399
2020-04-02,1.6746883161845076
2020-04-03,-2.832966367039269
2020-04-04,3.3595187444217274
2020-04-05,1.7958260758998037
2020-04-06,1.063040655990548
2020-04-07,-2.111473353668792
2020-04-08,-1.4764006397719243
2020-04-09,2.349756949659202
2020-04-10,0.7600723183218818
2020-04-11,0.7133271249619213
2020-04-12,0.5699006081619942
2020-04-13,0.47635499135709836
2020-04-14,-0.8222138147123843
2020-04-15,-0.5774340495624344
2020-04-16,1.1764408460675355
2020-04-17,0.2105739796085615
2020-04-18,0.32540431353242383
2020-04-19,0.13764960934783943
2020-04-20,-0.0491264492049055
2020-04-21,-1.1343680739818254
2020-04-22,-0.7048525467642719
2020-04-23,0.058294446383229115
2020-04-24,0.8016031903937915
2020-04-25,-0.7467402307520103
2020-04-26,-0.3818675330250585
2020-04-27,-0.30526955616338824
2020-04-28,0.0689551132374362
2020-04-29,-0.02760778374207007
2020-04-30,-0.15713357394099603
2020-05-01,0.12442288478336394
2020-05-02,-0.102573459464395
2020-05-03,-0.09060019697673738
2020-05-04,-0.12394358325530419
2020-05-05,-0.07374330423601805
2020-05-06,-0.060105751494049287
2020-05-07,-0.06051109255123066
2020-05-08,-0.12856354185455388
2020-05-09,-0.07978058719150027
2020-05-10,-0.06815885461050897
2020-05-11,-0.0716844407591708
2020-05-12,-0.06206764965625666
2020-05-13,-0.06642336418823902
2020-05-14,-0.06261305848351384
2020-05-15,-0.12587302151277413
2020-05-16,-0.08315276962253648
2020-05-17,-0.07698166318584043
2020-05-18,-0.0784246979109895
2020-05-19,-0.07166668804335075
2020-05-20,-0.0747376017538599
2020-05-21,-0.07193973550278088
2020-05-22,-0.14048997646469275
2020-05-23,-0.09418672710555853
2020-05-24,-0.08724869949042358
2020-05-25,-0.08893877488450386
2020-05-26,-0.08149829890982829
2020-05-27,-0.08488410849736283
2020-05-28,-0.08181252367627678
2020-05-29,-0.08325207213312069
2020-05-30,-0.08226176130560248
2020-05-31,-0.08272235497019409
2020-06-01,0.08751506013499011
2020-06-02,0.013448594618459708
2020-06-03,1.008178053219865
2020-06-04,0.34665432713154587
2020-06-05,0.2281109525955074
2020-06-06,0.271129907626495
2020-06-07,0.15839492168144886
2020-06-08,0.15555790317940676
2020-06-09,0.14100539133745116
2020-06-10,-0.201516164975601
2020-06-11,0.03597511778495743
2020-06-12,0.09342701243178908
2020-06-13,0.07908939911493462
2020-06-14,0.12916055163807272
2020-06-15,0.06060310974271488
2020-06-16,0.10498409995241076
2020-06-17,-0.19773326787773016
2020-06-18,0.009950443614840765
2020-06-19,0.04649759932365072
2020-06-20,0.039027335071558866
2020-06-21,0.07581844279339123
2020-06-22,0.006223249293860533
2020-06-23,0.046650013752959296
2020-06-24,-0.28372413404208174
2020-06-25,-0.06059578691733236
2020-06-26,-0.02193095084309249
2020-06-27,-0.03275957854334166
2020-06-28,0.005542482310303853
2020-06-29,-0.011995118948242123
2020-06-30,0.0036353235967965247
2020-07-01,0.08835653890790951
2020-07-02,0.03120959170814075
2020-07-03,0.01880235515012174
2020-07-04,0.02287057622012867
2020-07-05,0.01188407844547612
2020-07-06,0.016965256259389605
2020-07-07,0.012562929712814253
2020-07-08,-0.01971958138903318
2020-07-09,0.0020784504039852436
2020-07-10,0.0064903689033499745
2020-07-11,0.005106577228090714
2020-07-12,0.009145460800667138
2020-07-13,0.00728381038815229
2020-07-14,0.008911413220609177
2020-07-15,-1.0194169238481336
2020-07-16,2.674910190957526
2020-07-17,-2.238479056135816
2020-07-18,0.42925106397464674
2020-07-19,1.284517024667288
2020-07-20,1.0232898160748363
2020-07-21,-2.1939592637343353
2020-07-22,-0.33270240695777886
2020-07-23,-1.1693161759608799
2020-07-24,3.3582867247834685
2020-07-25,0.7694190645157448
2020-07-26,-0.10192285446341742
2020-07-27,0.2515678315026051
2020-07-28,1.0306062120506212
2020-07-29,0.9704266947100635
2020-07-30,-0.485935015885822
2020-07-31,-0.5382990856681715
2020-08-01,-0.8688145351185952
2020-08-02,-1.1023846776680415
2020-08-03,-1.2947832336045622
2020-08-04,-0.24228691059146001
2020-08-05,0.025830546875504012
2020-08-06,-1.1496385623557899
2020-08-07,-0.12358498796328377
2020-08-08,-0.4103514307395457
2020-08-09,-0.46658480731019125
2020-08-10,-0.3710168373591074
2020-08-11,0.8279449344673395
2020-08-12,0.09890736024154734
2020-08-13,-0.06764563207143937
2020-08-14,-0.8009620632299672
2020-08-15,-0.26621337344838736
2020-08-16,-0.022806516379056063
2020-08-17,-0.06392085624901256
2020-08-18,0.09829395463203383
2020-08-19,-0.11402774972773955
2020-08-20,-0.09520052704022675
2020-08-21,0.06612803239525533
2020-08-22,0.08874077819326942
2020-08-23,0.15346992127092562
2020-08-24,0.20364949331371207
2020-08-25,0.22845349742762977
2020-08-26,0.07151295549129344
2020-08-27,0.032860842281415614
2020-08-28,0.023248377856695868
2020-08-29,0.002785046476034836
2020-08-30,0.006995818759854444
2020-08-31,-0.00042569250922497304
2020-09-01,0.2285736239456213
2020-09-02,0.07328996405122723
2020-09-03,0.04932118493474036
2020-09-04,0.055248975599148764
2020-09-05,0.03001952723057144
2020-09-06,0.04149134566722523
2020-09-07,0.031102588657773822
2020-09-08,-0.048601839988698714
2020-09-09,0.005154220155404232
2020-09-10,0.01596409440526969
2020-09-11,0.012577256947338356
2020-09-12,0.022509936459499613
2020-09-13,0.017930509869344746
2020-09-14,0.021935607570910065
2020-09-15,-0.04779540040567554
2020-09-16,-4.000708877341069
2020-09-17,0.7069133464610999
2020-09-18,1.7926349485671267
2020-09-19,0.11515961542740882
2020-09-20,0.40026931241060026
2020-09-21,0.031161566498447257
2020-09-22,0.01782463768133624
2020-09-23,1.485587162979975
2020-09-24,-0.25072619646833516
2020-09-25,-0.6723440011625215
2020-09-26,-0.7011841422680405
2020-09-27,-1.0312472446392036
2020-09-28,-1.0328372156350767
2020-09-29,-0.5540636958034355
2020-09-30,5.801400161925326
2020-10-01,-0.7736823037219125
2020-10-02,-0.34818887531483256
2020-10-03,0.7292896393270425
2020-10-04,0.13655485144995083
2020-10-05,0.7523859703894757
2020-10-06,0.2304952572857033
2020-10-07,-0.16248777424966931
2020-10-08,0.11122237285823644
2020-10-09,-0.4583953846798039
2020-10-10,0.1387239161872813
2020-10-11,0.34598769096262316
2020-10-12,0.33411797756151174
2020-10-13,-1.7151839611990525
2020-10-14,-1.9476594655213475
2020-10-15,-0.1439304414758169
2020-10-16,-0.44338852311440746
2020-10-17,-0.08540657603349189
2020-10-18,0.053249340997069794
2020-10-19,0.06086602576601763
2020-10-20,0.6919199338564468
2020-10-21,-1.5171556744543793
2020-10-22,0.11079277663097997
2020-10-23,0.8786905816466302
2020-10-24,1.019248740179357
2020-10-25,1.4625712705833251
2020-10-26,1.5264969773067136
2020-10-27,1.3758122629028122
2020-10-28,-3.242431482884058
2020-10-29,-0.6440959735172243
2020-10-30,-0.6705889963549936
2020-10-31,-0.9506563407580444
2020-11-01,-0.532799968887943
2020-11-02,-0.8824036019592896
2020-11-03,0.27582209912776534
2020-11-04,1.2898485125474437
2020-11-05,0.29331820321815627
2020-11-06,-0.14452576054720367
2020-11-07,-0.2622946396449066
2020-11-08,-0.4766759180627602
2020-11-09,-0.4891969522242974
2020-11-10,-0.2794011254011721
2020-11-11,0.9819687585781196
2020-11-12,0.1823037649081627
2020-11-13,-0.24431193205199264
2020-11-14,-0.3234057672014288
2020-11-15,-0.5341615303601941
2020-11-16,-0.5449958730535585
2020-11-17,-0.3107115112579777
2020-11-18,1.0694400526431096
2020-11-19,0.19587430876533318
2020-11-20,0.08759760403538763
2020-11-21,0.7842303404041502
2020-11-22,0.8474622345953051
2020-11-23,1.066689069103873
2020-11-24,0.5082889914326287
2020-11-25,0.40610842063795616
2020-11-26,0.368375657882531
2020-11-27,0.30462087069572874
2020-11-28,0.06937725230055491
2020-11-29,-0.03564319037509023
2020-11-30,-0.08114085612621835
2020-12-01,0.014300775269092014
2020-12-02,0.12252456301209236
2020-12-03,0.13770077236109302
2020-12-04,0.16273258327699125
2020-12-05,-0.03453147607185514
2020-12-06,-0.09373441625116641
2020-12-07,-0.13634002112561916
2020-12-08,0.04742718652277489
2020-12-09,0.06459499947590075
2020-12-10,2.0677906828746018
2020-12-11,-2.260274369077102
2020-12-12,0.31931015561095677
2020-12-13,0.9688270890203512
2020-12-14,0.8214772259892769
2020-12-15,-0.3009561979036093
2020-12-16,-0.04128853844396474
2020-12-17,0.4763137147037
2020-12-18,1.2177618663174883
2020-12-19,0.24986921727322198
2020-12-20,-0.09637939764338199
2020-12-21,-0.10088551084685804
2020-12-22,0.4309886581457363
2020-12-23,0.30015747526400816
2020-12-24,-0.761066012643262
2020-12-25,0.8714725837672717
2020-12-26,-0.0008537553910841211
2020-12-27,-0.1811025716045762
2020-12-28,-0.13884916095669553
2020-12-29,0.25135343840795343
2020-12-30,0.18897927847617524
2020-12-31,-0.8462831308353387
2021-01-01,0.7320004798380566
2021-01-02,-0.13342275784515323
2021-01-03,-0.32490532746300715
2021-01-04,-0.28647211800932837
2021-01-05,0.15523811196674586
2021-01-06,0.07838118542527894
2021-01-07,-0.33102458798941115
2021-01-08,0.010369411783131
2021-01-09,-1.0481204149303025
2021-01-10,-1.3481995228778985
2021-01-11,-1.5502357648298926
2021-01-12,1.1972021825732497
2021-01-13,0.04941918319121896
2021-01-14,-0.14249161182294756
2021-01-15,0.06229279002889143
2021-01-16,0.1576514553104431
