,Day,Google Trends
290,2020-10-17,0
291,2020-10-18,0
292,2020-10-19,62
293,2020-10-20,0
294,2020-10-21,0
295,2020-10-22,56
296,2020-10-23,80
297,2020-10-24,0
298,2020-10-25,0
299,2020-10-26,0
300,2020-10-27,0
301,2020-10-28,0
302,2020-10-29,0
303,2020-10-30,0
304,2020-10-31,0
305,2020-11-01,0
306,2020-11-02,80
307,2020-11-03,72
308,2020-11-04,0
309,2020-11-05,59
310,2020-11-06,0
311,2020-11-07,0
312,2020-11-08,0
313,2020-11-09,66
314,2020-11-10,75
315,2020-11-11,0
316,2020-11-12,0
317,2020-11-13,0
318,2020-11-14,0
319,2020-11-15,0
320,2020-11-16,0
321,2020-11-17,0
322,2020-11-18,0
323,2020-11-19,100
324,2020-11-20,61
325,2020-11-21,0
326,2020-11-22,0
327,2020-11-23,0
328,2020-11-24,0
329,2020-11-25,0
330,2020-11-26,0
331,2020-11-27,0
332,2020-11-28,0
333,2020-11-29,0
334,2020-11-30,0
335,2020-12-01,0
336,2020-12-02,59
337,2020-12-03,0
338,2020-12-04,62
339,2020-12-05,0
340,2020-12-06,70
341,2020-12-07,60
342,2020-12-08,0
343,2020-12-09,61
344,2020-12-10,0
345,2020-12-11,0
346,2020-12-12,0
347,2020-12-13,79
348,2020-12-14,0
349,2020-12-15,0
350,2020-12-16,0
351,2020-12-17,0
352,2020-12-18,0
353,2020-12-19,0
354,2020-12-20,0
355,2020-12-21,0
356,2020-12-22,0
357,2020-12-23,0
358,2020-12-24,0
359,2020-12-25,0
360,2020-12-26,78
361,2020-12-27,0
362,2020-12-28,0
363,2020-12-29,83
364,2020-12-30,0
365,2020-12-31,0
366,2021-01-01,0
367,2021-01-02,0
368,2021-01-03,0
369,2021-01-04,0
370,2021-01-05,0
371,2021-01-06,0
372,2021-01-07,0
373,2021-01-08,0
374,2021-01-09,0
375,2021-01-10,86
376,2021-01-11,0
377,2021-01-12,0
378,2021-01-13,0
379,2021-01-14,0
380,2021-01-15,0
381,2021-01-16,0
382,2021-01-17,94
383,2021-01-18,0
384,2021-01-19,0
385,2021-01-20,70
386,2021-01-21,0
387,2021-01-22,54
388,2021-01-23,64
389,2021-01-24,0
390,2021-01-25,0
391,2021-01-26,0
392,2021-01-27,0
393,2021-01-28,0
394,2021-01-29,0
395,2021-01-30,0
396,2021-01-31,0
397,2021-02-01,0
398,2021-02-02,58
399,2021-02-03,0
400,2021-02-04,0
401,2021-02-05,0
402,2021-02-06,81
403,2021-02-07,0
404,2021-02-08,0
405,2021-02-09,0
406,2021-02-10,0
407,2021-02-11,0
408,2021-02-12,60
409,2021-02-13,0
410,2021-02-14,0
411,2021-02-15,0
412,2021-02-16,0
413,2021-02-17,0
414,2021-02-18,0
415,2021-02-19,0
416,2021-02-20,0
417,2021-02-21,0
418,2021-02-22,0
419,2021-02-23,58
420,2021-02-24,0
421,2021-02-25,59
422,2021-02-26,0
423,2021-02-27,0
424,2021-02-28,0
425,2021-03-01,62
426,2021-03-02,72
427,2021-03-03,0
428,2021-03-04,0
429,2021-03-05,0
430,2021-03-06,0
431,2021-03-07,0
432,2021-03-08,0
433,2021-03-09,75
434,2021-03-10,62
435,2021-03-11,0
436,2021-03-12,0
437,2021-03-13,85
438,2021-03-14,0
439,2021-03-15,0
440,2021-03-16,0
441,2021-03-17,0
442,2021-03-18,55
443,2021-03-19,58
444,2021-03-20,0
445,2021-03-21,0
446,2021-03-22,0
447,2021-03-23,0
448,2021-03-24,58
449,2021-03-25,0
450,2021-03-26,0
451,2021-03-27,0
452,2021-03-28,0
453,2021-03-29,0
454,2021-03-30,0
455,2021-03-31,80
456,2021-04-01,0
457,2021-04-02,0
458,2021-04-03,0
459,2021-04-04,0
460,2021-04-05,0
461,2021-04-06,0
462,2021-04-07,58
463,2021-04-08,0
464,2021-04-09,0
465,2021-04-10,74
466,2021-04-11,0
467,2021-04-12,0
468,2021-04-13,0
469,2021-04-14,0
470,2021-04-15,0
471,2021-04-16,0
472,2021-04-17,0
473,2021-04-18,0
474,2021-04-19,0
475,2021-04-20,0
476,2021-04-21,73
477,2021-04-22,0
478,2021-04-23,0
479,2021-04-24,0
480,2021-04-25,0
481,2021-04-26,0
482,2021-04-27,0
483,2021-04-28,67
484,2021-04-29,0
485,2021-04-30,0
486,2021-05-01,0
487,2021-05-02,0
488,2021-05-03,0
489,2021-05-04,0
490,2021-05-05,69
491,2021-05-06,0
492,2021-05-07,0
493,2021-05-08,0
494,2021-05-09,0
495,2021-05-10,79
496,2021-05-11,58
497,2021-05-12,0
498,2021-05-13,0
499,2021-05-14,0
500,2021-05-15,0
501,2021-05-16,0
502,2021-05-17,0
503,2021-05-18,0
504,2021-05-19,0
505,2021-05-20,0
506,2021-05-21,0
507,2021-05-22,0
508,2021-05-23,0
509,2021-05-24,0
510,2021-05-25,0
511,2021-05-26,0
512,2021-05-27,62
513,2021-05-28,0
514,2021-05-29,0
515,2021-05-30,0
516,2021-05-31,0
517,2021-06-01,0
518,2021-06-02,0
519,2021-06-03,62
520,2021-06-04,0
521,2021-06-05,0
522,2021-06-06,0
523,2021-06-07,0
524,2021-06-08,0
525,2021-06-09,0
526,2021-06-10,0
527,2021-06-11,0
528,2021-06-12,0
529,2021-06-13,74
530,2021-06-14,70
531,2021-06-15,0
532,2021-06-16,0
533,2021-06-17,55
534,2021-06-18,0
535,2021-06-19,0
536,2021-06-20,0
537,2021-06-21,0
538,2021-06-22,0
539,2021-06-23,0
540,2021-06-24,76
541,2021-06-25,0
542,2021-06-26,66
543,2021-06-27,100
544,2021-06-28,0
545,2021-06-29,0
546,2021-06-30,0
547,2021-07-01,0
548,2021-07-02,0
549,2021-07-03,0
550,2021-07-04,75
551,2021-07-05,0
552,2021-07-06,0
553,2021-07-07,0
554,2021-07-08,0
