Date,Well-Milled High_train_residual
2020-01-01,43.53264853060552
2020-01-02,24.336100415110227
2020-01-03,19.12396378564058
2020-01-04,7.60777037107961
2020-01-05,7.866329124904098
2020-01-06,7.957760640899522
2020-01-07,7.990355956081487
2020-01-08,-35.530636330275115
2020-01-09,6.986677107079231e-06
2020-01-10,-4.999995198364495
2020-01-11,4.409691952057294
2020-01-12,1.9819505183704678e-06
2020-01-13,6.9314680217758e-07
2020-01-14,-2.7801304227637047e-06
2020-01-15,-1.2432329803857556e-05
2020-01-16,3.3996701631622273e-06
2020-01-17,-2.486690348795001
2020-01-18,2.193109836243096
2020-01-19,1.0040818594347911e-06
2020-01-20,3.512798159022168e-07
2020-01-21,-1.3801975953242618e-06
2020-01-22,-6.181852690190226e-06
2020-01-23,2.2301295246052177e-06
2020-01-24,-1.6431537278441652
2020-01-25,3.4491617826766188
2020-01-26,0.2361247176128103
2020-01-27,0.2361242751963033
2020-01-28,0.23612312738643482
2020-01-29,0.23611995439836164
2020-01-30,0.23612568453641813
2020-01-31,-0.9810957895234935
2020-02-01,0.7985057524139094
2020-02-02,0.17577924009742674
2020-02-03,0.17577891187058725
2020-02-04,0.17577806149898123
2020-02-05,0.175775711002494
2020-02-06,0.18679954183066627
2020-02-07,-0.7717027473325118
2020-02-08,-1.3776560641959605
2020-02-09,-0.09770649537043141
2020-02-10,-0.0977067513589489
2020-02-11,1.9022925798578
2020-02-12,0.13841477080657683
2020-02-13,0.1527073331362061
2020-02-14,-2.630861670782224
2020-02-15,1.6376516399686238
2020-02-16,0.5381876344234726
2020-02-17,0.597218436916819
2020-02-18,-0.20876491194041336
2020-02-19,0.11315312019880963
2020-02-20,0.12798027938280399
2020-02-21,-0.20486084112844338
2020-02-22,-1.391400164375824
2020-02-23,0.8329798799737773
2020-02-24,0.9414831621011146
2020-02-25,-0.17496076698132157
2020-02-26,0.09483086413996489
2020-02-27,0.10913976554157756
2020-02-28,-0.17470241917828133
2020-02-29,0.8134336857147844
2020-03-01,0.019501124355059574
2020-03-02,-0.07043318075167093
2020-03-03,-0.14058273769696683
2020-03-04,0.08949173663430798
2020-03-05,0.10287656861342498
2020-03-06,-0.14225512146439456
2020-03-07,3.7111186433983434
2020-03-08,0.3066252628068895
2020-03-09,0.29335857313449054
2020-03-10,-4.767223963616793
2020-03-11,-0.15883721580564014
2020-03-12,-0.14643868126658788
2020-03-13,-0.36013867302443003
2020-03-14,-0.0008588249850092211
2020-03-15,-0.323001455709516
2020-03-16,-0.33456704340889587
2020-03-17,-0.24626286525573704
2020-03-18,-0.6975015263525393
2020-03-19,0.7533619415371788
2020-03-20,-0.31620883478974093
2020-03-21,-0.0007540654842017602
2020-03-22,-0.28360162839444314
2020-03-23,-0.29375644191568284
2020-03-24,1.2837763622542937
2020-03-25,1.0646729734710547
